seed,outcome,model,variant,acc_mean,acc_std,f1_mean,f1_std,auc_mean
3,is_minority_dept,LR,without,0.49733333333333335,0.038781438859330636,0.49471795575385036,0.045488473282371426,0.5355167904348231
3,is_minority_dept,LR,with,0.5383333333333333,0.017732581437693847,0.5419913352667299,0.01533753092484426,0.5460417542384757
3,is_minority_dept,RF,without,0.5946666666666667,0.015755069730795303,0.5821088452360654,0.012862732866968318,0.5703318387744618
3,is_minority_dept,RF,with,0.6040000000000001,0.014321700705960578,0.5930995625335993,0.013506160500840166,0.5833520153192284
3,is_minority_dept,XGB,without,0.6183333333333333,0.010801234497346436,0.5941907974364116,0.00836296810095616,0.5942903180608099
3,is_minority_dept,XGB,with,0.6256666666666668,0.014047538337136968,0.6006737294244874,0.010621026656086347,0.6090128905702675
4,is_terminated,LR,without,0.7206666666666667,0.012364824660660937,0.7651530650560144,0.00956722526961089,0.8015845148138944
4,is_terminated,LR,with,0.6963333333333334,0.01275408431313933,0.7461447098474727,0.010555689072564725,0.8168467939319128
4,is_terminated,RF,without,0.8506666666666668,0.007498147919467985,0.8230561970911712,0.009799781481096252,0.8230988625595337
4,is_terminated,RF,with,0.85,0.00623609564462322,0.8264675218587592,0.007444588767670812,0.8350456666620047
4,is_terminated,XGB,without,0.8496666666666666,0.005517648452415633,0.8215466177461235,0.009213940428161664,0.8287252896404343
4,is_terminated,XGB,with,0.8466666666666667,0.004830458915396484,0.8223881976784299,0.009293356113958293,0.8391821339421393
4,PerfScore,LR,without,0.2816666666666667,0.015238839267549946,0.35994400368580837,0.01907369590961641,
4,PerfScore,LR,with,0.306,0.018517259216441533,0.3875116619743298,0.02196189787765346,
4,PerfScore,RF,without,0.7403333333333333,0.015965240019770746,0.6897787487157582,0.011590921160068027,
4,PerfScore,RF,with,0.742,0.015398412616601437,0.6923963206791983,0.010717278230269597,
4,PayZone_encoded,LR,without,0.31066666666666665,0.013399834161494512,0.30513904082387994,0.016350617696372267,
4,PayZone_encoded,LR,with,0.30633333333333335,0.011803954139750508,0.30441532102040064,0.013032302523803947,
4,PayZone_encoded,RF,without,0.32066666666666666,0.015003703246569196,0.31929578414026044,0.014668624852583667,
4,PayZone_encoded,RF,with,0.32766666666666666,0.012229290885229421,0.32679227829011837,0.012157134362694687,
4,PayZone_encoded,XGB,without,0.32033333333333336,0.017587874611030542,0.3192947509041887,0.01758871437537586,
4,PayZone_encoded,XGB,with,0.32,0.004944132324730444,0.3182273229615375,0.00481089311630185,
4,SeniorityLevel,LR,without,0.8143333333333332,0.03424746543744351,0.8766878306336435,0.023195662107549173,
4,SeniorityLevel,LR,with,0.8506666666666666,0.008069145624606798,0.8928110600939265,0.008490441225982599,
4,SeniorityLevel,RF,without,0.9453333333333334,0.006446359868604594,0.9392739365385175,0.0058886306290367625,
4,SeniorityLevel,RF,with,0.9663333333333334,0.005617433182117584,0.9660087855714246,0.005577813316075109,
4,is_minority_dept,LR,without,0.505,0.01923538406167135,0.5041847049559552,0.022645671537480476,0.5398253234318807
4,is_minority_dept,LR,with,0.529,0.017048949136725906,0.5335409668702324,0.01665971654826474,0.5493017607771706
4,is_minority_dept,RF,without,0.5913333333333333,0.021171259344267238,0.578932939506003,0.018942121167165295,0.566896688618
4,is_minority_dept,RF,with,0.5900000000000001,0.017575235101952108,0.578526044896659,0.0189666151369607,0.5792536546634907
4,is_minority_dept,XGB,without,0.625,0.004346134936801798,0.5992212923715735,0.00504778578371586,0.5991079351735089
4,is_minority_dept,XGB,with,0.627,0.012884098726725128,0.5990378390295193,0.015539335726051356,0.6078289197141655
5,is_terminated,LR,without,0.72,0.014337208778404368,0.7645665443673831,0.011526451609567745,0.8019679445604151
5,is_terminated,LR,with,0.692,0.015506271132817351,0.7425269416467581,0.012816325312626756,0.8122133387248439
5,is_terminated,RF,without,0.8543333333333333,0.008273115763993883,0.82528852690919,0.010299819293066791,0.8360027342044221
5,is_terminated,RF,with,0.852,0.010821788720498597,0.8275677290773839,0.013493366641520534,0.847422033887716
5,is_terminated,XGB,without,0.8576666666666666,0.004546060565661969,0.8261798985434563,0.00474630815502494,0.8386176279612687
5,is_terminated,XGB,with,0.8593333333333334,0.007272474743090469,0.8348506557774538,0.007431088613529593,0.8479290630787301
